KALCODE,Population2021
5701020201,622.0
5701050201,520.0
5701070601,378.0
5701080601,21.0
5701080701,413.0
5701030301,7.0
5701030101,283.0
5701031101,29.0
5701030801,32.0
5701031001,86.0
5703000001,844.0
5701031301,34.0
5701060101,615.0
5702000001,420.0
5701030701,7.0
5701031501,10.0
5701030401,10.0
5701030201,27.0
5701030501,55.0
5701030901,26.0
5701030601,26.0
5701060201,67.0
5701060301,117.0
5301060801,211.0
5301060401,287.0
5301060501,73.0
5302070301,230.0
5301030201,571.0
5302070501,56.0
5302060501,79.0
5003020110,0.0
5003020105,246.0
5004010107,325.0
5004010111,125.0
5004010116,45.0
5004010102,300.0
1803041501,51.0
2001010601,1.0
2002011001,171.0
1903040101,264.0
6901070601,506.0
6002000001,284.0
6001010201,432.0
6001011001,642.0
6001011201,1029.0
6001010601,276.0
6001010301,834.0
5601020102,38.0
2904011001,34.0
1803040801,87.0
1803030501,120.0
1903020101,324.0
2001050101,907.0
1803040201,72.0
2002012301,141.0
1803011301,109.0
1803010701,205.0
2906040502,97.0
2906050603,8.0
2906050602,3.0
2906051102,3.0
2906050202,40.0
2906050702,27.0
2906050104,19.0
2906050109,60.0
2906050103,91.0
2906050105,254.0
6301000201,742.0
5401010201,205.0
2705010105,128.0
2705010402,4.0
2705030103,7.0
2702030502,9.0
2801020202,2.0
2902010102,218.0
2902010104,2.0
2902010105,1.0
2902010302,48.0
2902010702,16.0
2902010903,18.0
2902010402,1.0
2902011003,0.0
2902011002,28.0
2908000002,177.0
2908000003,13.0
2908000004,54.0
5601020701,497.0
5601020501,232.0
5602020501,112.0
5501010501,437.0
5501040101,472.0
5501030301,170.0
5501040701,236.0
5501030901,87.0
5501040601,22.0
5501040501,527.0
5501040301,184.0
5501031001,296.0
5501040401,219.0
5501020201,736.0
5501030501,85.0
5501010401,311.0
5501030201,164.0
5501030401,564.0
5501020301,149.0
5501020101,774.0
2707020202,4.0
2707020203,9.0
2707020204,39.0
2707020205,14.0
2707020206,5.0
2707020602,151.0
2707020102,577.0
2707020104,33.0
2707030102,37.0
2707030104,31.0
2907010408,29.0
2907010105,13.0
2907010107,88.0
2907010106,80.0
2907010104,197.0
2103010901,93.0
2101030402,79.0
2102010702,84.0
2103012002,31.0
2103010401,6.0
2103010802,6.0
2103011802,104.0
2103010502,43.0
2103011302,102.0
2103011002,66.0
2103020402,12.0
2103020302,45.0
2103020103,32.0
2103020106,12.0
2103020102,215.0
2102030802,30.0
2102010502,29.0
2102030303,118.0
2102030602,32.0
2102030603,59.0
2102020202,58.0
1804040102,39.0
1804020201,0.0
1807020602,25.0
1807020604,163.0
1807020605,6.0
2904010601,352.0
2904020204,11.0
2904020206,5.0
2904010102,343.0
2904010105,164.0
2904010402,82.0
2904010303,37.0
2904010302,38.0
2904011002,95.0
2904030102,515.0
2904030702,21.0
2904030703,38.0
2904030502,72.0
2907010406,5.0
2907010403,50.0
2907010407,11.0
2907010404,14.0
2907030201,43.0
2701050901,82.0
2701050601,406.0
2701050201,146.0
2706010801,123.0
2701051001,558.0
2707020401,573.0
2701051601,129.0
2707020101,448.0
2707020201,649.0
2907030301,266.0
2904050201,214.0
2707010201,389.0
2706011901,75.0
2904020201,783.0
2701050301,100.0
2701050801,379.0
2701030201,164.0
2907030501,334.0
2706010701,53.0
2701050701,237.0
2706011601,314.0
2904050401,694.0
2706012201,337.0
2707010401,502.0
2707020601,196.0
2907030601,90.0
2706040101,385.0
2904010801,142.0
2707010301,118.0
2906020106,144.0
2906020104,259.0
3204000202,105.0
3204000203,29.0
3204000204,59.0
3204000205,63.0
3204000206,48.0
3204000207,12.0
2101020402,12.0
2101020602,54.0
2101020603,99.0
2101020902,49.0
2101020202,142.0
2103011201,30.0
2103011602,16.0
2103011402,13.0
5501010503,228.0
5501010302,147.0
5501010303,64.0
5501010304,23.0
5501010402,47.0
5501040603,23.0
5501040402,108.0
6101000004,469.0
2703020601,421.0
2703011501,237.0
2703010201,88.0
2703011301,301.0
2703020201,133.0
2703020301,242.0
2703020801,223.0
2703030102,15.0
2707010102,47.0
2907010202,185.0
2907030102,406.0
6901080501,614.0
6901030401,169.0
6901080201,533.0
6901030501,121.0
6901030201,277.0
6901020301,1031.0
6902000001,582.0
6901020201,930.0
6901070501,103.0
6901070201,680.0
6901040201,649.0
6901070301,234.0
6801000401,311.0
2902020103,0.0
2902020803,2.0
2707010104,12.0
2707010105,64.0
2707020402,28.0
5302040401,301.0
5302040201,460.0
5302040301,274.0
5302050401,158.0
2908000005,61.0
2908000008,43.0
2908000010,132.0
2908000011,54.0
1903020501,191.0
1803010902,27.0
2001010701,810.0
1802040901,27.0
1803041301,35.0
2701030501,317.0
2904030501,373.0
2707030401,226.0
2706030501,301.0
2706020801,54.0
2704030401,34.0
2701020701,46.0
2907020501,177.0
2701020901,64.0
2704030501,98.0
2706011001,308.0
2701010501,279.0
2701020401,129.0
2907020401,596.0
2701051201,98.0
2706010401,260.0
2701010202,4.0
2701010203,5.0
2701010602,3.0
2706020103,84.0
2706031102,5.0
2706010802,29.0
2706012102,19.0
2706012103,22.0
2706012105,10.0
2906020201,282.0
2801050101,421.0
2906020101,662.0
2906010801,207.0
2906010501,48.0
2801050301,68.0
2902021301,167.0
2805010401,480.0
2805010801,53.0
2902021001,278.0
2906020701,171.0
2906020501,403.0
2906020801,211.0
2801020201,169.0
2906040901,62.0
2903020501,93.0
2906041101,450.0
2902020301,137.0
2906041001,78.0
2906040401,238.0
2902020401,79.0
2801020301,186.0
2906040701,170.0
2902020701,441.0
2902010501,1281.0
2906040101,578.0
2702010201,178.0
1803041101,87.0
1802070401,121.0
3204000108,132.0
1803011001,31.0
1803030401,34.0
1802040601,68.0
2002030501,76.0
2904030601,106.0
2706031101,232.0
2701010401,123.0
2706030701,105.0
2707010501,36.0
2706020901,118.0
2904030401,613.0
2904030801,286.0
2706030401,413.0
2706020301,130.0
5501010202,34.0
5501031101,68.0
5501010201,416.0
5501020401,132.0
5501020601,44.0
5501030701,309.0
4610030102,164.0
4903030103,112.0
5001020102,220.0
5005030102,12.0
5003010110,428.0
5003010105,50.0
5003010104,6.0
5003010103,109.0
2701020403,15.0
2701021102,41.0
2702020302,68.0
2904040102,745.0
2904040105,39.0
2904020303,41.0
2904020302,14.0
2904020304,29.0
2904020106,0.0
2904020108,7.0
2904020103,221.0
2906020102,195.0
2906020302,140.0
2801050501,47.0
2906040501,216.0
2902020101,312.0
2906040301,62.0
2902020901,201.0
2906040601,70.0
2702010301,109.0
2902021101,391.0
2906051201,251.0
2702010501,532.0
2701020801,369.0
